source,protocol,seed_start,representation,representation_key,representation_family,subset,systems,n_samples,n_features,n_true_classes,kmeans_ari,kmeans_nmi,hdbscan_ari_all,hdbscan_ari_core,hdbscan_clusters,hdbscan_noise
results_exp70_matched_codex_matrix_full_equal_seed72000\matched_matrices.npz,equal,72000,raw multi-L features,multi_L_features,feature,no_rd_no_ks,EW/KPZ/BD/Eden,160,40,2,-0.0707071,0.151066,0.329114,0.329114,4,0
results_exp70_matched_codex_matrix_full_equal_seed72000\matched_matrices.npz,equal,72000,raw multi-L features,multi_L_features,feature,ew_kpz_only,EW/KPZ only,80,40,2,1,1,1,1,2,0
results_exp70_matched_codex_matrix_full_equal_seed72000\matched_matrices.npz,equal,72000,cross-L engineered features,cross_L_engineered_features,feature,all_six,EW/KPZ/BD/Eden/RD/KS,240,40,4,0.495781,0.743848,0.490173,0.455948,5,27
results_exp70_matched_codex_matrix_full_equal_seed72000\matched_matrices.npz,equal,72000,cross-L engineered features,cross_L_engineered_features,feature,no_ks,EW/KPZ/BD/Eden/RD,200,40,3,0.34647,0.598106,0.418074,0.397648,5,22
results_exp70_matched_codex_matrix_full_equal_seed72000\matched_matrices.npz,equal,72000,cross-L engineered features,cross_L_engineered_features,feature,no_rd,EW/KPZ/BD/Eden/KS,200,40,3,0.34647,0.598106,0.422473,0.317406,4,33
results_exp70_matched_codex_matrix_full_equal_seed72000\matched_matrices.npz,equal,72000,cross-L engineered features,cross_L_engineered_features,feature,no_rd_no_ks,EW/KPZ/BD/Eden,160,40,2,-0.0707071,0.151066,0.27532,0.200342,4,22
results_exp70_matched_codex_matrix_full_equal_seed72000\matched_matrices.npz,equal,72000,cross-L engineered features,cross_L_engineered_features,feature,ew_kpz_only,EW/KPZ only,80,40,2,1,1,1,1,2,0
results_exp70_matched_codex_matrix_full_equal_seed72000\matched_matrices.npz,equal,72000,PCA-whitened multi-L features,pca_whitened_multi_L_features,feature,all_six,EW/KPZ/BD/Eden/RD/KS,240,7,4,0.495781,0.743848,0.516119,0.536391,6,13
results_exp70_matched_codex_matrix_full_equal_seed72000\matched_matrices.npz,equal,72000,PCA-whitened multi-L features,pca_whitened_multi_L_features,feature,no_ks,EW/KPZ/BD/Eden/RD,200,7,3,0.0197044,0.306337,0.429001,0.44467,5,10
results_exp70_matched_codex_matrix_full_equal_seed72000\matched_matrices.npz,equal,72000,PCA-whitened multi-L features,pca_whitened_multi_L_features,feature,no_rd,EW/KPZ/BD/Eden/KS,200,7,3,0.508032,0.674779,0.460503,0.474051,5,2
results_exp70_matched_codex_matrix_full_equal_seed72000\matched_matrices.npz,equal,72000,PCA-whitened multi-L features,pca_whitened_multi_L_features,feature,no_rd_no_ks,EW/KPZ/BD/Eden,160,7,2,0.259133,0.350697,0.324566,0.33098,4,1
results_exp70_matched_codex_matrix_full_equal_seed72000\matched_matrices.npz,equal,72000,PCA-whitened multi-L features,pca_whitened_multi_L_features,feature,ew_kpz_only,EW/KPZ only,80,7,2,1,1,1,1,2,0
results_exp70_matched_codex_matrix_full_equal_seed72000\matched_matrices.npz,equal,72000,matched effective exponent geometry,matched_exponent_geometry,effective_exponent,all_six,EW/KPZ/BD/Eden/RD/KS,240,3,4,0.615056,0.777379,0.697679,0.844559,5,20
results_exp70_matched_codex_matrix_full_equal_seed72000\matched_matrices.npz,equal,72000,matched effective exponent geometry,matched_exponent_geometry,effective_exponent,no_ks,EW/KPZ/BD/Eden/RD,200,3,3,0.746593,0.769513,0.483799,0.633379,4,22
results_exp70_matched_codex_matrix_full_equal_seed72000\matched_matrices.npz,equal,72000,matched effective exponent geometry,matched_exponent_geometry,effective_exponent,no_rd,EW/KPZ/BD/Eden/KS,200,3,3,0.983747,0.972495,0.98783,1,3,1
results_exp70_matched_codex_matrix_full_equal_seed72000\matched_matrices.npz,equal,72000,matched effective exponent geometry,matched_exponent_geometry,effective_exponent,no_rd_no_ks,EW/KPZ/BD/Eden,160,3,2,0.973486,0.942083,0.410779,0.557101,4,17
results_exp70_matched_codex_matrix_full_equal_seed72000\matched_matrices.npz,equal,72000,matched effective exponent geometry,matched_exponent_geometry,effective_exponent,ew_kpz_only,EW/KPZ only,80,3,2,1,1,1,1,2,0
results_exp70_matched_codex_matrix_full_equal_seed73000\matched_matrices.npz,equal,73000,single-L features,single_L_features,feature,all_six,EW/KPZ/BD/Eden/RD/KS,240,10,4,0.604959,0.786438,0.566243,0.566243,6,0
results_exp70_matched_codex_matrix_full_equal_seed73000\matched_matrices.npz,equal,73000,single-L features,single_L_features,feature,no_ks,EW/KPZ/BD/Eden/RD,200,10,3,0.499581,0.671269,0.47769,0.47769,5,0
results_exp70_matched_codex_matrix_full_equal_seed73000\matched_matrices.npz,equal,73000,single-L features,single_L_features,feature,no_rd,EW/KPZ/BD/Eden/KS,200,10,3,0.0197044,0.306337,0.47769,0.47769,5,0
results_exp70_matched_codex_matrix_full_equal_seed73000\matched_matrices.npz,equal,73000,single-L features,single_L_features,feature,no_rd_no_ks,EW/KPZ/BD/Eden,160,10,2,-0.0707071,0.151066,0.329114,0.329114,4,0
results_exp70_matched_codex_matrix_full_equal_seed73000\matched_matrices.npz,equal,73000,single-L features,single_L_features,feature,ew_kpz_only,EW/KPZ only,80,10,2,1,1,1,1,2,0
results_exp70_matched_codex_matrix_full_equal_seed73000\matched_matrices.npz,equal,73000,raw multi-L features,multi_L_features,feature,all_six,EW/KPZ/BD/Eden/RD/KS,240,40,4,0.604959,0.786438,0.566243,0.566243,6,0
results_exp70_matched_codex_matrix_full_equal_seed73000\matched_matrices.npz,equal,73000,raw multi-L features,multi_L_features,feature,no_ks,EW/KPZ/BD/Eden/RD,200,40,3,0.499581,0.671269,0.47769,0.47769,5,0
results_exp70_matched_codex_matrix_full_equal_seed73000\matched_matrices.npz,equal,73000,raw multi-L features,multi_L_features,feature,no_rd,EW/KPZ/BD/Eden/KS,200,40,3,0.0197044,0.306337,0.47769,0.47769,5,0
results_exp70_matched_codex_matrix_full_equal_seed73000\matched_matrices.npz,equal,73000,raw multi-L features,multi_L_features,feature,no_rd_no_ks,EW/KPZ/BD/Eden,160,40,2,-0.0707071,0.151066,0.329114,0.329114,4,0
results_exp70_matched_codex_matrix_full_equal_seed73000\matched_matrices.npz,equal,73000,raw multi-L features,multi_L_features,feature,ew_kpz_only,EW/KPZ only,80,40,2,1,1,1,1,2,0
results_exp70_matched_codex_matrix_full_equal_seed73000\matched_matrices.npz,equal,73000,cross-L engineered features,cross_L_engineered_features,feature,all_six,EW/KPZ/BD/Eden/RD/KS,240,40,4,0.495781,0.743848,0.554699,0.558565,6,3
results_exp70_matched_codex_matrix_full_equal_seed73000\matched_matrices.npz,equal,73000,cross-L engineered features,cross_L_engineered_features,feature,no_ks,EW/KPZ/BD/Eden/RD,200,40,3,0.34647,0.598106,0.44881,0.452377,5,7
results_exp70_matched_codex_matrix_full_equal_seed73000\matched_matrices.npz,equal,73000,cross-L engineered features,cross_L_engineered_features,feature,no_rd,EW/KPZ/BD/Eden/KS,200,40,3,0.34647,0.598106,0.4648,0.466932,5,3
results_exp70_matched_codex_matrix_full_equal_seed73000\matched_matrices.npz,equal,73000,cross-L engineered features,cross_L_engineered_features,feature,no_rd_no_ks,EW/KPZ/BD/Eden,160,40,2,-0.0707071,0.151066,0.305459,0.295087,4,6
results_exp70_matched_codex_matrix_full_equal_seed73000\matched_matrices.npz,equal,73000,cross-L engineered features,cross_L_engineered_features,feature,ew_kpz_only,EW/KPZ only,80,40,2,1,1,0.975305,1,2,1
results_exp70_matched_codex_matrix_full_equal_seed73000\matched_matrices.npz,equal,73000,PCA-whitened multi-L features,pca_whitened_multi_L_features,feature,all_six,EW/KPZ/BD/Eden/RD/KS,240,9,4,0.495781,0.743848,0.448674,0.318493,4,40
results_exp70_matched_codex_matrix_full_equal_seed73000\matched_matrices.npz,equal,73000,PCA-whitened multi-L features,pca_whitened_multi_L_features,feature,no_ks,EW/KPZ/BD/Eden/RD,200,9,3,0.0197044,0.306337,0.279475,0.155002,4,28
results_exp70_matched_codex_matrix_full_equal_seed73000\matched_matrices.npz,equal,73000,PCA-whitened multi-L features,pca_whitened_multi_L_features,feature,no_rd,EW/KPZ/BD/Eden/KS,200,9,3,0.165968,0.394728,0.47769,0.47769,5,0
results_exp70_matched_codex_matrix_full_equal_seed73000\matched_matrices.npz,equal,73000,PCA-whitened multi-L features,pca_whitened_multi_L_features,feature,no_rd_no_ks,EW/KPZ/BD/Eden,160,9,2,0.246445,0.343711,0.329114,0.329114,4,0
results_exp70_matched_codex_matrix_full_equal_seed73000\matched_matrices.npz,equal,73000,PCA-whitened multi-L features,pca_whitened_multi_L_features,feature,ew_kpz_only,EW/KPZ only,80,9,2,1,1,1,1,2,0
results_exp70_matched_codex_matrix_full_equal_seed73000\matched_matrices.npz,equal,73000,matched effective exponent geometry,matched_exponent_geometry,effective_exponent,all_six,EW/KPZ/BD/Eden/RD/KS,240,3,4,0.469378,0.632164,0.40768,0.557224,7,36
results_exp70_matched_codex_matrix_full_equal_seed73000\matched_matrices.npz,equal,73000,matched effective exponent geometry,matched_exponent_geometry,effective_exponent,no_ks,EW/KPZ/BD/Eden/RD,200,3,3,0.436356,0.569925,0.52145,0.537478,2,2
results_exp70_matched_codex_matrix_full_equal_seed73000\matched_matrices.npz,equal,73000,matched effective exponent geometry,matched_exponent_geometry,effective_exponent,no_rd,EW/KPZ/BD/Eden/KS,200,3,3,0.404031,0.598734,0.538283,0.538283,2,0
results_exp70_matched_codex_matrix_full_equal_seed73000\matched_matrices.npz,equal,73000,matched effective exponent geometry,matched_exponent_geometry,effective_exponent,no_rd_no_ks,EW/KPZ/BD/Eden,160,3,2,0.19872,0.25159,0.24864,0.432193,3,35
results_exp70_matched_codex_matrix_full_equal_seed73000\matched_matrices.npz,equal,73000,matched effective exponent geometry,matched_exponent_geometry,effective_exponent,ew_kpz_only,EW/KPZ only,80,3,2,0.519547,0.422942,0.901133,1,2,4
results_exp70_matched_codex_matrix_full_exp69_seed69000\matched_matrices.npz,exp69,69000,single-L features,single_L_features,feature,all_six,EW/KPZ/BD/Eden/RD/KS,240,10,4,0.243671,0.557886,0.526711,0.528071,7,1
results_exp70_matched_codex_matrix_full_exp69_seed69000\matched_matrices.npz,exp69,69000,single-L features,single_L_features,feature,no_ks,EW/KPZ/BD/Eden/RD,200,10,3,0.34647,0.598106,0.47769,0.47769,5,0
results_exp70_matched_codex_matrix_full_exp69_seed69000\matched_matrices.npz,exp69,69000,single-L features,single_L_features,feature,no_rd,EW/KPZ/BD/Eden/KS,200,10,3,0.0197044,0.306337,0.47769,0.47769,5,0
results_exp70_matched_codex_matrix_full_exp69_seed69000\matched_matrices.npz,exp69,69000,single-L features,single_L_features,feature,no_rd_no_ks,EW/KPZ/BD/Eden,160,10,2,-0.0707071,0.151066,0.329114,0.329114,4,0
results_exp70_matched_codex_matrix_full_exp69_seed69000\matched_matrices.npz,exp69,69000,single-L features,single_L_features,feature,ew_kpz_only,EW/KPZ only,80,10,2,1,1,1,1,2,0
results_exp70_matched_codex_matrix_full_exp69_seed69000\matched_matrices.npz,exp69,69000,raw multi-L features,multi_L_features,feature,all_six,EW/KPZ/BD/Eden/RD/KS,240,40,4,0.604959,0.786438,0.566243,0.566243,6,0
results_exp70_matched_codex_matrix_full_exp69_seed69000\matched_matrices.npz,exp69,69000,raw multi-L features,multi_L_features,feature,no_ks,EW/KPZ/BD/Eden/RD,200,40,3,0.499581,0.671269,0.47769,0.47769,5,0
results_exp70_matched_codex_matrix_full_exp69_seed69000\matched_matrices.npz,exp69,69000,raw multi-L features,multi_L_features,feature,no_rd,EW/KPZ/BD/Eden/KS,200,40,3,0.0197044,0.306337,0.47769,0.47769,5,0
results_exp70_matched_codex_matrix_full_exp69_seed69000\matched_matrices.npz,exp69,69000,raw multi-L features,multi_L_features,feature,no_rd_no_ks,EW/KPZ/BD/Eden,160,40,2,-0.0707071,0.151066,0.329114,0.329114,4,0
results_exp70_matched_codex_matrix_full_exp69_seed69000\matched_matrices.npz,exp69,69000,raw multi-L features,multi_L_features,feature,ew_kpz_only,EW/KPZ only,80,40,2,1,1,1,1,2,0
results_exp70_matched_codex_matrix_full_exp69_seed69000\matched_matrices.npz,exp69,69000,cross-L engineered features,cross_L_engineered_features,feature,all_six,EW/KPZ/BD/Eden/RD/KS,240,40,4,0.495781,0.743848,0.434003,0.427857,5,26
results_exp70_matched_codex_matrix_full_exp69_seed69000\matched_matrices.npz,exp69,69000,cross-L engineered features,cross_L_engineered_features,feature,no_ks,EW/KPZ/BD/Eden/RD,200,40,3,0.34647,0.598106,0.317119,0.240925,4,40
results_exp70_matched_codex_matrix_full_exp69_seed69000\matched_matrices.npz,exp69,69000,cross-L engineered features,cross_L_engineered_features,feature,no_rd,EW/KPZ/BD/Eden/KS,200,40,3,0.34647,0.598106,0.390098,0.31164,4,28
results_exp70_matched_codex_matrix_full_exp69_seed69000\matched_matrices.npz,exp69,69000,cross-L engineered features,cross_L_engineered_features,feature,no_rd_no_ks,EW/KPZ/BD/Eden,160,40,2,-0.0707071,0.151066,-0.0586781,-0.072455,2,1
results_exp70_matched_codex_matrix_full_exp69_seed69000\matched_matrices.npz,exp69,69000,cross-L engineered features,cross_L_engineered_features,feature,ew_kpz_only,EW/KPZ only,80,40,2,1,1,0.72573,1,2,12
results_exp70_matched_codex_matrix_full_exp69_seed69000\matched_matrices.npz,exp69,69000,PCA-whitened multi-L features,pca_whitened_multi_L_features,feature,all_six,EW/KPZ/BD/Eden/RD/KS,240,7,4,0.495781,0.743848,0.53486,0.541222,6,10
results_exp70_matched_codex_matrix_full_exp69_seed69000\matched_matrices.npz,exp69,69000,PCA-whitened multi-L features,pca_whitened_multi_L_features,feature,no_ks,EW/KPZ/BD/Eden/RD,200,7,3,0.0197044,0.306337,0.45082,0.452638,5,7
results_exp70_matched_codex_matrix_full_exp69_seed69000\matched_matrices.npz,exp69,69000,PCA-whitened multi-L features,pca_whitened_multi_L_features,feature,no_rd,EW/KPZ/BD/Eden/KS,200,7,3,0.34647,0.598106,0.318493,0.318493,4,0
results_exp70_matched_codex_matrix_full_exp69_seed69000\matched_matrices.npz,exp69,69000,PCA-whitened multi-L features,pca_whitened_multi_L_features,feature,no_rd_no_ks,EW/KPZ/BD/Eden,160,7,2,-0.0707071,0.151066,0.0535714,0.0535714,3,0
results_exp70_matched_codex_matrix_full_exp69_seed69000\matched_matrices.npz,exp69,69000,PCA-whitened multi-L features,pca_whitened_multi_L_features,feature,ew_kpz_only,EW/KPZ only,80,7,2,1,1,1,1,2,0
results_exp70_matched_codex_matrix_full_exp69_seed69000\matched_matrices.npz,exp69,69000,matched effective exponent geometry,matched_exponent_geometry,effective_exponent,all_six,EW/KPZ/BD/Eden/RD/KS,240,3,4,0.90171,0.901156,0.879193,0.959571,5,14
results_exp70_matched_codex_matrix_full_exp69_seed69000\matched_matrices.npz,exp69,69000,matched effective exponent geometry,matched_exponent_geometry,effective_exponent,no_ks,EW/KPZ/BD/Eden/RD,200,3,3,0.843234,0.817451,0.545201,0.544392,2,1
results_exp70_matched_codex_matrix_full_exp69_seed69000\matched_matrices.npz,exp69,69000,matched effective exponent geometry,matched_exponent_geometry,effective_exponent,no_rd,EW/KPZ/BD/Eden/KS,200,3,3,0.936031,0.919474,0.489251,0.479801,3,5
results_exp70_matched_codex_matrix_full_exp69_seed69000\matched_matrices.npz,exp69,69000,matched effective exponent geometry,matched_exponent_geometry,effective_exponent,no_rd_no_ks,EW/KPZ/BD/Eden,160,3,2,0.921943,0.863954,0.520602,0.745472,3,21
results_exp70_matched_codex_matrix_full_exp69_seed69000\matched_matrices.npz,exp69,69000,matched effective exponent geometry,matched_exponent_geometry,effective_exponent,ew_kpz_only,EW/KPZ only,80,3,2,1,1,0.951862,1,2,2
results_exp70_matched_codex_matrix_full_exp69_seed70000\matched_matrices.npz,exp69,70000,single-L features,single_L_features,feature,all_six,EW/KPZ/BD/Eden/RD/KS,240,10,4,0.604959,0.786438,0.566243,0.566243,6,0
results_exp70_matched_codex_matrix_full_exp69_seed70000\matched_matrices.npz,exp69,70000,single-L features,single_L_features,feature,no_ks,EW/KPZ/BD/Eden/RD,200,10,3,0.499581,0.671269,0.47769,0.47769,5,0
results_exp70_matched_codex_matrix_full_exp69_seed70000\matched_matrices.npz,exp69,70000,single-L features,single_L_features,feature,no_rd,EW/KPZ/BD/Eden/KS,200,10,3,0.0197044,0.306337,0.47769,0.47769,5,0
results_exp70_matched_codex_matrix_full_exp69_seed70000\matched_matrices.npz,exp69,70000,single-L features,single_L_features,feature,no_rd_no_ks,EW/KPZ/BD/Eden,160,10,2,-0.0707071,0.151066,0.329114,0.329114,4,0
results_exp70_matched_codex_matrix_full_exp69_seed70000\matched_matrices.npz,exp69,70000,single-L features,single_L_features,feature,ew_kpz_only,EW/KPZ only,80,10,2,1,1,1,1,2,0
results_exp70_matched_codex_matrix_full_exp69_seed70000\matched_matrices.npz,exp69,70000,raw multi-L features,multi_L_features,feature,all_six,EW/KPZ/BD/Eden/RD/KS,240,40,4,0.604959,0.786438,0.566243,0.566243,6,0
results_exp70_matched_codex_matrix_full_exp69_seed70000\matched_matrices.npz,exp69,70000,raw multi-L features,multi_L_features,feature,no_ks,EW/KPZ/BD/Eden/RD,200,40,3,0.499581,0.671269,0.47769,0.47769,5,0
results_exp70_matched_codex_matrix_full_exp69_seed70000\matched_matrices.npz,exp69,70000,raw multi-L features,multi_L_features,feature,no_rd,EW/KPZ/BD/Eden/KS,200,40,3,0.0197044,0.306337,0.47769,0.47769,5,0
results_exp70_matched_codex_matrix_full_exp69_seed70000\matched_matrices.npz,exp69,70000,raw multi-L features,multi_L_features,feature,no_rd_no_ks,EW/KPZ/BD/Eden,160,40,2,-0.0707071,0.151066,0.329114,0.329114,4,0
results_exp70_matched_codex_matrix_full_exp69_seed70000\matched_matrices.npz,exp69,70000,raw multi-L features,multi_L_features,feature,ew_kpz_only,EW/KPZ only,80,40,2,1,1,1,1,2,0
results_exp70_matched_codex_matrix_full_exp69_seed70000\matched_matrices.npz,exp69,70000,cross-L engineered features,cross_L_engineered_features,feature,all_six,EW/KPZ/BD/Eden/RD/KS,240,40,4,0.495781,0.743848,0.554127,0.558484,6,3
results_exp70_matched_codex_matrix_full_exp69_seed70000\matched_matrices.npz,exp69,70000,cross-L engineered features,cross_L_engineered_features,feature,no_ks,EW/KPZ/BD/Eden/RD,200,40,3,0.34647,0.598106,0.455341,0.459519,5,5
results_exp70_matched_codex_matrix_full_exp69_seed70000\matched_matrices.npz,exp69,70000,cross-L engineered features,cross_L_engineered_features,feature,no_rd,EW/KPZ/BD/Eden/KS,200,40,3,0.34647,0.598106,0.468869,0.470515,5,2
results_exp70_matched_codex_matrix_full_exp69_seed70000\matched_matrices.npz,exp69,70000,cross-L engineered features,cross_L_engineered_features,feature,no_rd_no_ks,EW/KPZ/BD/Eden,160,40,2,-0.0707071,0.151066,0.285062,0.318676,4,10
results_exp70_matched_codex_matrix_full_exp69_seed70000\matched_matrices.npz,exp69,70000,cross-L engineered features,cross_L_engineered_features,feature,ew_kpz_only,EW/KPZ only,80,40,2,1,1,1,1,2,0
results_exp70_matched_codex_matrix_full_exp69_seed70000\matched_matrices.npz,exp69,70000,PCA-whitened multi-L features,pca_whitened_multi_L_features,feature,all_six,EW/KPZ/BD/Eden/RD/KS,240,8,4,0.495781,0.743848,0.526923,0.507401,6,25
