protocol,seed_start,system_a,system_b,standardized_centroid_distance_no_ks,source
equal,69000,ew,kpz,1.7934724459977853,results_exp70_matched_codex_sweep_full_equal_seed69000\summary.json
equal,69000,ew,bd,2.4613902018156795,results_exp70_matched_codex_sweep_full_equal_seed69000\summary.json
equal,69000,ew,eden,2.7106276082514715,results_exp70_matched_codex_sweep_full_equal_seed69000\summary.json
equal,69000,ew,rd,4.749174020453193,results_exp70_matched_codex_sweep_full_equal_seed69000\summary.json
equal,69000,kpz,bd,0.6952897668000487,results_exp70_matched_codex_sweep_full_equal_seed69000\summary.json
equal,69000,kpz,eden,1.0305736442027025,results_exp70_matched_codex_sweep_full_equal_seed69000\summary.json
equal,69000,kpz,rd,3.0454466389581003,results_exp70_matched_codex_sweep_full_equal_seed69000\summary.json
equal,69000,bd,eden,0.7560897811908199,results_exp70_matched_codex_sweep_full_equal_seed69000\summary.json
equal,69000,bd,rd,2.361783441194105,results_exp70_matched_codex_sweep_full_equal_seed69000\summary.json
equal,69000,eden,rd,2.412269500913977,results_exp70_matched_codex_sweep_full_equal_seed69000\summary.json
equal,70000,ew,kpz,0.913757228530071,results_exp70_matched_codex_sweep_full_equal_seed70000\summary.json
equal,70000,ew,bd,1.202398879388844,results_exp70_matched_codex_sweep_full_equal_seed70000\summary.json
equal,70000,ew,eden,1.5728091806756919,results_exp70_matched_codex_sweep_full_equal_seed70000\summary.json
equal,70000,ew,rd,4.4352473126147105,results_exp70_matched_codex_sweep_full_equal_seed70000\summary.json
equal,70000,kpz,bd,0.4788633485464411,results_exp70_matched_codex_sweep_full_equal_seed70000\summary.json
equal,70000,kpz,eden,1.0588043778980463,results_exp70_matched_codex_sweep_full_equal_seed70000\summary.json
equal,70000,kpz,rd,3.621474824188287,results_exp70_matched_codex_sweep_full_equal_seed70000\summary.json
equal,70000,bd,eden,0.6066657872707276,results_exp70_matched_codex_sweep_full_equal_seed70000\summary.json
equal,70000,bd,rd,3.261347704681732,results_exp70_matched_codex_sweep_full_equal_seed70000\summary.json
equal,70000,eden,rd,3.0845271782024835,results_exp70_matched_codex_sweep_full_equal_seed70000\summary.json
equal,71000,ew,kpz,0.5242243943949811,results_exp70_matched_codex_sweep_full_equal_seed71000\summary.json
equal,71000,ew,bd,2.120697494792842,results_exp70_matched_codex_sweep_full_equal_seed71000\summary.json
equal,71000,ew,eden,1.9790141589269772,results_exp70_matched_codex_sweep_full_equal_seed71000\summary.json
equal,71000,ew,rd,4.420638287813876,results_exp70_matched_codex_sweep_full_equal_seed71000\summary.json
equal,71000,kpz,bd,1.652625457605813,results_exp70_matched_codex_sweep_full_equal_seed71000\summary.json
equal,71000,kpz,eden,1.6742982384891758,results_exp70_matched_codex_sweep_full_equal_seed71000\summary.json
equal,71000,kpz,rd,3.9592712742232554,results_exp70_matched_codex_sweep_full_equal_seed71000\summary.json
equal,71000,bd,eden,0.9853393308123158,results_exp70_matched_codex_sweep_full_equal_seed71000\summary.json
equal,71000,bd,rd,2.3464375060794924,results_exp70_matched_codex_sweep_full_equal_seed71000\summary.json
equal,71000,eden,rd,2.937250052170832,results_exp70_matched_codex_sweep_full_equal_seed71000\summary.json
equal,72000,ew,kpz,2.2207888769802406,results_exp70_matched_codex_sweep_full_equal_seed72000\summary.json
equal,72000,ew,bd,2.449388650755426,results_exp70_matched_codex_sweep_full_equal_seed72000\summary.json
equal,72000,ew,eden,3.5243534164454178,results_exp70_matched_codex_sweep_full_equal_seed72000\summary.json
equal,72000,ew,rd,4.463418387684358,results_exp70_matched_codex_sweep_full_equal_seed72000\summary.json
equal,72000,kpz,bd,0.37143253689954253,results_exp70_matched_codex_sweep_full_equal_seed72000\summary.json
equal,72000,kpz,eden,1.33078164118394,results_exp70_matched_codex_sweep_full_equal_seed72000\summary.json
equal,72000,kpz,rd,2.381659725192778,results_exp70_matched_codex_sweep_full_equal_seed72000\summary.json
equal,72000,bd,eden,1.1866864475492214,results_exp70_matched_codex_sweep_full_equal_seed72000\summary.json
equal,72000,bd,rd,2.3028818167971425,results_exp70_matched_codex_sweep_full_equal_seed72000\summary.json
equal,72000,eden,rd,1.1559008791644845,results_exp70_matched_codex_sweep_full_equal_seed72000\summary.json
equal,73000,ew,kpz,1.0010126688438057,results_exp70_matched_codex_sweep_full_equal_seed73000\summary.json
equal,73000,ew,bd,1.6154935303180236,results_exp70_matched_codex_sweep_full_equal_seed73000\summary.json
equal,73000,ew,eden,2.6176738795638044,results_exp70_matched_codex_sweep_full_equal_seed73000\summary.json
equal,73000,ew,rd,4.213190999621343,results_exp70_matched_codex_sweep_full_equal_seed73000\summary.json
equal,73000,kpz,bd,0.8063042956436363,results_exp70_matched_codex_sweep_full_equal_seed73000\summary.json
equal,73000,kpz,eden,1.9679471494204548,results_exp70_matched_codex_sweep_full_equal_seed73000\summary.json
equal,73000,kpz,rd,3.3001324480023317,results_exp70_matched_codex_sweep_full_equal_seed73000\summary.json
equal,73000,bd,eden,1.1741004316130594,results_exp70_matched_codex_sweep_full_equal_seed73000\summary.json
equal,73000,bd,rd,2.6624459369389686,results_exp70_matched_codex_sweep_full_equal_seed73000\summary.json
equal,73000,eden,rd,2.2232542316823314,results_exp70_matched_codex_sweep_full_equal_seed73000\summary.json
exp69,69000,ew,kpz,2.2856778303838197,results_exp70_matched_codex_sweep_full_exp69_seed69000\summary.json
exp69,69000,ew,bd,2.6058311376395213,results_exp70_matched_codex_sweep_full_exp69_seed69000\summary.json
exp69,69000,ew,eden,2.496890522384791,results_exp70_matched_codex_sweep_full_exp69_seed69000\summary.json
exp69,69000,ew,rd,4.7460611674499535,results_exp70_matched_codex_sweep_full_exp69_seed69000\summary.json
exp69,69000,kpz,bd,0.9347527447697155,results_exp70_matched_codex_sweep_full_exp69_seed69000\summary.json
exp69,69000,kpz,eden,0.6181141606014965,results_exp70_matched_codex_sweep_full_exp69_seed69000\summary.json
exp69,69000,kpz,rd,2.642028395779278,results_exp70_matched_codex_sweep_full_exp69_seed69000\summary.json
exp69,69000,bd,eden,1.5212027904854304,results_exp70_matched_codex_sweep_full_exp69_seed69000\summary.json
exp69,69000,bd,rd,2.2583497150036185,results_exp70_matched_codex_sweep_full_exp69_seed69000\summary.json
exp69,69000,eden,rd,2.817957607080995,results_exp70_matched_codex_sweep_full_exp69_seed69000\summary.json
exp69,70000,ew,kpz,0.8694903452581776,results_exp70_matched_codex_sweep_full_exp69_seed70000\summary.json
exp69,70000,ew,bd,1.2830354355638807,results_exp70_matched_codex_sweep_full_exp69_seed70000\summary.json
exp69,70000,ew,eden,0.6854612260433265,results_exp70_matched_codex_sweep_full_exp69_seed70000\summary.json
exp69,70000,ew,rd,3.934777995926633,results_exp70_matched_codex_sweep_full_exp69_seed70000\summary.json
exp69,70000,kpz,bd,0.47814850925649144,results_exp70_matched_codex_sweep_full_exp69_seed70000\summary.json
exp69,70000,kpz,eden,0.8295760994054608,results_exp70_matched_codex_sweep_full_exp69_seed70000\summary.json
exp69,70000,kpz,rd,3.5781079392101947,results_exp70_matched_codex_sweep_full_exp69_seed70000\summary.json
exp69,70000,bd,eden,1.0060706929301229,results_exp70_matched_codex_sweep_full_exp69_seed70000\summary.json
exp69,70000,bd,rd,3.197183802959263,results_exp70_matched_codex_sweep_full_exp69_seed70000\summary.json
exp69,70000,eden,rd,3.2804095502164206,results_exp70_matched_codex_sweep_full_exp69_seed70000\summary.json
exp69,71000,ew,kpz,0.9019481258180477,results_exp70_matched_codex_sweep_full_exp69_seed71000\summary.json
exp69,71000,ew,bd,2.3290885653739988,results_exp70_matched_codex_sweep_full_exp69_seed71000\summary.json
exp69,71000,ew,eden,2.4980631960683555,results_exp70_matched_codex_sweep_full_exp69_seed71000\summary.json
exp69,71000,ew,rd,4.458794844118737,results_exp70_matched_codex_sweep_full_exp69_seed71000\summary.json
exp69,71000,kpz,bd,1.4822653367553715,results_exp70_matched_codex_sweep_full_exp69_seed71000\summary.json
exp69,71000,kpz,eden,1.7392882904246734,results_exp70_matched_codex_sweep_full_exp69_seed71000\summary.json
exp69,71000,kpz,rd,3.6088710496040055,results_exp70_matched_codex_sweep_full_exp69_seed71000\summary.json
exp69,71000,bd,eden,1.6512412932891696,results_exp70_matched_codex_sweep_full_exp69_seed71000\summary.json
exp69,71000,bd,rd,2.2687507842857912,results_exp70_matched_codex_sweep_full_exp69_seed71000\summary.json
exp69,71000,eden,rd,2.658053946329143,results_exp70_matched_codex_sweep_full_exp69_seed71000\summary.json
exp69,72000,ew,kpz,2.2845467791517007,results_exp70_matched_codex_sweep_full_exp69_seed72000\summary.json
exp69,72000,ew,bd,1.8435910109085096,results_exp70_matched_codex_sweep_full_exp69_seed72000\summary.json
exp69,72000,ew,eden,3.0096726266703904,results_exp70_matched_codex_sweep_full_exp69_seed72000\summary.json
exp69,72000,ew,rd,4.32918962896772,results_exp70_matched_codex_sweep_full_exp69_seed72000\summary.json
exp69,72000,kpz,bd,0.47161877806484154,results_exp70_matched_codex_sweep_full_exp69_seed72000\summary.json
exp69,72000,kpz,eden,0.7516455892119283,results_exp70_matched_codex_sweep_full_exp69_seed72000\summary.json
exp69,72000,kpz,rd,2.212181345592302,results_exp70_matched_codex_sweep_full_exp69_seed72000\summary.json
exp69,72000,bd,eden,1.1799472303824443,results_exp70_matched_codex_sweep_full_exp69_seed72000\summary.json
exp69,72000,bd,rd,2.5501701852194283,results_exp70_matched_codex_sweep_full_exp69_seed72000\summary.json
exp69,72000,eden,rd,1.514736950453356,results_exp70_matched_codex_sweep_full_exp69_seed72000\summary.json
exp69,73000,ew,kpz,0.897299536222568,results_exp70_matched_codex_sweep_full_exp69_seed73000\summary.json
exp69,73000,ew,bd,1.6535359980660074,results_exp70_matched_codex_sweep_full_exp69_seed73000\summary.json
exp69,73000,ew,eden,2.7071779855850457,results_exp70_matched_codex_sweep_full_exp69_seed73000\summary.json
exp69,73000,ew,rd,3.9127263775979313,results_exp70_matched_codex_sweep_full_exp69_seed73000\summary.json
exp69,73000,kpz,bd,0.7642684045076621,results_exp70_matched_codex_sweep_full_exp69_seed73000\summary.json
exp69,73000,kpz,eden,1.8951473340636469,results_exp70_matched_codex_sweep_full_exp69_seed73000\summary.json
exp69,73000,kpz,rd,3.0722628303513138,results_exp70_matched_codex_sweep_full_exp69_seed73000\summary.json
exp69,73000,bd,eden,1.2632258102968807,results_exp70_matched_codex_sweep_full_exp69_seed73000\summary.json
exp69,73000,bd,rd,2.344107688560703,results_exp70_matched_codex_sweep_full_exp69_seed73000\summary.json
exp69,73000,eden,rd,1.3212052362876254,results_exp70_matched_codex_sweep_full_exp69_seed73000\summary.json
